time,user_name,user_color,message
4599,wilson3200,#0000FF,"@carkoon thanks"
4689,mellovrotv,#FF69B4,"apparently anorak can not win"
4702,virtualflup,#8A2BE2,"JABBAS!!!!!!"
4759,ondereh,#21D9D9,"flup when jabbas MONKE"
4803,brickofett,#00C446,"Flup's palace"
4877,virtualflup,#8A2BE2,"This guy will never get a spider that isn't the 1:06 lmao"
4901,ondereh,#21D9D9,"peepoSad"
4910,mellovrotv,#FF69B4,"how did he die?"
5185,ethanmagicbrown,#D0A80B,"the fabled scynor throw"
5293,mellovrotv,#FF69B4,"you should just dropout p1 at that point no?"
5298,mellovrotv,#FF69B4,"faster to call back in that way"
5341,staunch82,#DAA520,"1 second bpt difference"
5423,gustative,#8A2BE2,"ohhh man"
5425,gustative,#8A2BE2,"gl boys"
5490,frostxbytex,#1E90FF,"please scynor"
5493,frostxbytex,#1E90FF,"for the culture"
5507,tfresh2000,#8A2BE2,"we can’t have 2 in 1 day"
